pop.id,dame_mf,sire_mf,Rep,Rack,Unique.ID,seeds_per_pot,Num_germ,4/24/2025,4/25/2025,4/26/2025,4/28/2025,4/29/2025,4/30/2025,5/1/2025,5/2/2025,5/5/2025,5/6/2025,5/7/2025,5/8/2025,5/9/2025,5/10/2025,5/12/2025,5/13/2025,Notes
LV1,22,NA,16,2,1678,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1,22,NA,17,2,1679,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1,22,NA,18,2,1680,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/5 removed 1 non-STTO seedling
LV1,22,NA,19,2,1681,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1,22,NA,20,2,1682,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
LV1,22,NA,21,2,1683,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SQ3,5,NA,1,2,1684,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
SQ3,5,NA,2,2,1685,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SQ3,5,NA,3,2,1686,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SQ3,5,NA,4,2,1687,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SQ3,5,NA,5,2,1688,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SQ3,5,NA,6,2,1689,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SQ3,5,NA,7,2,1690,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SQ3,12,NA,8,2,1691,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SQ3,12,NA,9,2,1692,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
SQ3,12,NA,10,2,1693,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
SQ3,12,NA,11,2,1694,3,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
SQ3,12,NA,12,2,1695,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SQ3,12,NA,13,2,1696,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SQ3,12,NA,14,2,1697,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5/2 removed non-STTO seedling
SQ3,7,NA,15,2,1698,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SQ3,7,NA,16,2,1699,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
SQ3,7,NA,17,2,1700,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
SQ3,7,NA,18,2,1701,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5/2 removed seedling counted in the previous week 
SQ3,7,NA,19,2,1702,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SQ3,7,NA,20,2,1703,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SQ3,7,NA,21,2,1704,3,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
WL1,8,NA,1,2,1803,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL1,8,NA,2,2,1804,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
WL1,8,NA,3,2,1805,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL1,8,NA,4,2,1806,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
WL1,8,NA,5,2,1807,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5/2 removed non-STTO seedling
WL1,8,NA,6,2,1808,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL1,8,NA,7,2,1809,3,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
WL1,18,NA,8,2,1810,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL1,18,NA,9,2,1811,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL1,18,NA,10,2,1812,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
WL1,18,NA,11,2,1813,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL1,18,NA,12,2,1814,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,
WL1,18,NA,13,2,1815,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL1,18,NA,14,2,1816,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/1 non-STTO seedling 5/2 removed non-STTO seedling from previous day
WL1,13,NA,15,2,1817,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL1,13,NA,16,2,1818,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL1,13,NA,17,2,1819,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL1,13,NA,18,2,1820,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL1,13,NA,19,2,1821,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL1,13,NA,20,2,1822,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL1,13,NA,21,2,1823,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BH x WL2,3-3,8-10,1,2,1964,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BH x WL2,3-3,2-A,2,2,1965,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BH x WL2,3-3,2-A,3,2,1966,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BH x WL2,1-3,8-10,4,2,1967,3,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4/30 4 seedlings
BH x WL2,19-A,8-A,5,2,1968,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BH x WL2,19-A,8-A,6,2,1969,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BH x WL2,1-3,8-1,7,2,1970,3,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,
SQ3 x WL2,6-C,8-A,1,2,1989,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
SQ3 x WL2,6-C,8-A,2,2,1990,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
SQ3 x WL2,6-C,8-A,3,2,1991,3,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
WL1 x WL2,2-3,2-2,1,2,2006,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL1 x WL2,2-3,2-2,2,2,2007,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
WL1 x WL2,2-3,2-2,3,2,2008,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,
WL1 x WL2,2-2,10-1,4,2,2009,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5/2 removed non-STTO seedling
WL1 x WL2,2-2,10-1,5,2,2010,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL1 x WL2,2-2,10-1,6,2,2011,3,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
WL2 x LV1,8-1,14-1,1,2,2019,3,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,
WL2 x LV1,8-1,14-1,2,2,2020,3,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,
WL2 x LV1,8-1,14-1,3,2,2021,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2 x LV1,8-1,14-1,4,2,2022,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2 x LV1,2-A,14-A,5,2,2023,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,
WL2 x LV1,2-A,14-A,6,2,2024,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
WL2 x LV1,2-A,14-A,7,2,2025,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
WL2 x WL1,10-1,2-1,1,2,2035,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
WL2 x WL1,10-1,2-1,2,2,2036,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2 x WL1,10-1,2-1,3,2,2037,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2 x YO11,2-A,11-2,1,2,2047,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
WL2 x YO11,2-A,11-2,2,2,2048,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
WL2 x YO11,2-A,11-2,3,2,2049,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,
WL2 x YO11,8-1,11-1,4,2,2050,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
WL2 x YO11,8-1,14-10,5,2,2051,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
WL2 x YO11,8-1,14-10,6,2,2052,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
WL2 x YO11,8-1,14-10,7,2,2053,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YO11,1,NA,1,3,1943,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YO11,1,NA,2,3,1944,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YO11,1,NA,3,3,1945,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YO11,1,NA,4,3,1946,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YO11,1,NA,5,3,1947,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YO11,1,NA,6,3,1948,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YO11,1,NA,7,3,1949,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YO11,4,NA,8,3,1950,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
YO11,4,NA,9,3,1951,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YO11,4,NA,10,3,1952,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YO11,4,NA,11,3,1953,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YO11,4,NA,12,3,1954,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YO11,4,NA,13,3,1955,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YO11,4,NA,14,3,1956,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YO11,5,NA,15,3,1957,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YO11,5,NA,16,3,1958,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YO11,5,NA,17,3,1959,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5/5 2 small germinants maybe STTO 5/7 confirmed 2 germs on 5/5 were STTO
YO11,5,NA,18,3,1960,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YO11,5,NA,19,3,1961,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
YO11,5,NA,20,3,1962,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
YO11,5,NA,21,3,1963,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
BH x WL2,1-3,8-1,8,3,1971,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
BH x WL2,1-3,8-1,9,3,1972,3,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,
CC x WL2,,,1,3,1973,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
DPR x WL2,,,1,3,1974,4,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,
DPR x WL2,,,2,3,1975,3,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,
DPR x WL2,,,3,3,1976,3,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,
DPR x WL2,,,4,3,1977,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
